year,GEOID,variable,renter_occ_units
2019,11101,B25032_013,11694
2020,11101,B25032_013,12929
2021,11101,B25032_013,13317
2012,11102,B25032_013,11771
2013,11102,B25032_013,12028
2014,11102,B25032_013,11922
2015,11102,B25032_013,12073
2016,11102,B25032_013,12128
2017,11102,B25032_013,11825
2018,11102,B25032_013,11331
2019,11102,B25032_013,11063
2020,11102,B25032_013,11086
2021,11102,B25032_013,10471
2012,11103,B25032_013,13263
2013,11103,B25032_013,13663
2014,11103,B25032_013,13832
2015,11103,B25032_013,14129
2016,11103,B25032_013,13964
2017,11103,B25032_013,13556
2018,11103,B25032_013,13129
2019,11103,B25032_013,13005
2020,11103,B25032_013,13285
2021,11103,B25032_013,12997
2012,11104,B25032_013,10110
2013,11104,B25032_013,9787
2014,11104,B25032_013,9765
2015,11104,B25032_013,9715
2016,11104,B25032_013,9514
2017,11104,B25032_013,9211
2018,11104,B25032_013,9321
2019,11104,B25032_013,9153
2020,11104,B25032_013,8827
2021,11104,B25032_013,9203
2012,11105,B25032_013,11618
2013,11105,B25032_013,11180
2014,11105,B25032_013,11509
2015,11105,B25032_013,11528
2016,11105,B25032_013,11460
2017,11105,B25032_013,11184
2018,11105,B25032_013,11108
2019,11105,B25032_013,10973
2020,11105,B25032_013,11111
2021,11105,B25032_013,11117
2012,11106,B25032_013,13953
2013,11106,B25032_013,13756
2014,11106,B25032_013,14171
2015,11106,B25032_013,13961
2016,11106,B25032_013,14170
2017,11106,B25032_013,14060
2018,11106,B25032_013,13964
2019,11106,B25032_013,13789
2020,11106,B25032_013,13912
2021,11106,B25032_013,14822
2012,11201,B25032_013,15008
2013,11201,B25032_013,15224
2014,11201,B25032_013,15734
2015,11201,B25032_013,16288
2016,11201,B25032_013,16766
2017,11201,B25032_013,16633
2018,11201,B25032_013,17664
2019,11201,B25032_013,18171
2020,11201,B25032_013,18848
2021,11201,B25032_013,20128
2012,11203,B25032_013,16005
2013,11203,B25032_013,15926
2014,11203,B25032_013,16273
2015,11203,B25032_013,16637
2016,11203,B25032_013,16646
2017,11203,B25032_013,16079
2018,11203,B25032_013,16483
2019,11203,B25032_013,16808
2020,11203,B25032_013,17415
2021,11203,B25032_013,17359
2012,11204,B25032_013,15535
2013,11204,B25032_013,15873
2014,11204,B25032_013,15363
2015,11204,B25032_013,15073
2016,11204,B25032_013,15325
2017,11204,B25032_013,15107
2018,11204,B25032_013,14853
2019,11204,B25032_013,14588
2020,11204,B25032_013,14600
2021,11204,B25032_013,15787
2012,11205,B25032_013,11162
2013,11205,B25032_013,11408
2014,11205,B25032_013,11739
2015,11205,B25032_013,12059
2016,11205,B25032_013,12192
2017,11205,B25032_013,12189
2018,11205,B25032_013,12369
2019,11205,B25032_013,12334
2020,11205,B25032_013,12205
2021,11205,B25032_013,11908
2012,11206,B25032_013,24968
2013,11206,B25032_013,25343
2014,11206,B25032_013,25683
2015,11206,B25032_013,26318
2016,11206,B25032_013,27004
2017,11206,B25032_013,27428
2018,11206,B25032_013,27768
2019,11206,B25032_013,28163
2020,11206,B25032_013,28090
2021,11206,B25032_013,27882
2012,11207,B25032_013,23333
2013,11207,B25032_013,23504
2014,11207,B25032_013,24343
2015,11207,B25032_013,24527
2016,11207,B25032_013,24243
2017,11207,B25032_013,24552
2018,11207,B25032_013,24800
2019,11207,B25032_013,24619
2020,11207,B25032_013,24766
2021,11207,B25032_013,24859
2012,11208,B25032_013,21260
2013,11208,B25032_013,21564
2014,11208,B25032_013,21868
2015,11208,B25032_013,22453
2016,11208,B25032_013,22847
2017,11208,B25032_013,23382
2018,11208,B25032_013,23804
2019,11208,B25032_013,24388
2020,11208,B25032_013,25314
2021,11208,B25032_013,24485
2012,11209,B25032_013,19948
2013,11209,B25032_013,19921
2014,11209,B25032_013,20222
2015,11209,B25032_013,19777
2016,11209,B25032_013,18912
2017,11209,B25032_013,18371
2018,11209,B25032_013,18269
2019,11209,B25032_013,17976
2020,11209,B25032_013,17812
2021,11209,B25032_013,18592
2012,11210,B25032_013,11573
2013,11210,B25032_013,11538
2014,11210,B25032_013,11898
2015,11210,B25032_013,11873
2016,11210,B25032_013,12359
2017,11210,B25032_013,12270
2018,11210,B25032_013,12361
2019,11210,B25032_013,12229
2020,11210,B25032_013,12250
2021,11210,B25032_013,11990
2012,11211,B25032_013,28804
2013,11211,B25032_013,30055
2014,11211,B25032_013,30679
2015,11211,B25032_013,31447
2016,11211,B25032_013,32060
2017,11211,B25032_013,32234
2018,11211,B25032_013,32900
2019,11211,B25032_013,33582
2020,11211,B25032_013,34275
2021,11211,B25032_013,22025
2012,11212,B25032_013,25242
2013,11212,B25032_013,25449
2014,11212,B25032_013,26188
2015,11212,B25032_013,26761
2016,11212,B25032_013,26860
2017,11212,B25032_013,26936
2018,11212,B25032_013,26805
2019,11212,B25032_013,27245
2020,11212,B25032_013,26681
2021,11212,B25032_013,27262
2012,11213,B25032_013,19481
2013,11213,B25032_013,19865
2014,11213,B25032_013,20094
2015,11213,B25032_013,20813
2016,11213,B25032_013,20880
2017,11213,B25032_013,20781
2018,11213,B25032_013,21124
2019,11213,B25032_013,21448
2020,11213,B25032_013,21843
2021,11213,B25032_013,21769
2012,11214,B25032_013,19746
2013,11214,B25032_013,19898
2014,11214,B25032_013,20620
2015,11214,B25032_013,21140
2016,11214,B25032_013,21028
2017,11214,B25032_013,21029
2018,11214,B25032_013,21304
2019,11214,B25032_013,21125
2020,11214,B25032_013,20535
2021,11214,B25032_013,20597
2012,11215,B25032_013,17809
2013,11215,B25032_013,17847
2014,11215,B25032_013,18198
2015,11215,B25032_013,18215
2016,11215,B25032_013,18089
2017,11215,B25032_013,17393
2018,11215,B25032_013,17024
2019,11215,B25032_013,16687
2020,11215,B25032_013,17092
2021,11215,B25032_013,17166
2012,11216,B25032_013,17815
2013,11216,B25032_013,17555
2014,11216,B25032_013,18275
2015,11216,B25032_013,18330
2016,11216,B25032_013,18650
2017,11216,B25032_013,18687
2018,11216,B25032_013,18751
2019,11216,B25032_013,19334
2020,11216,B25032_013,19546
2021,11216,B25032_013,19747
2012,11217,B25032_013,11808
2013,11217,B25032_013,11884
2014,11217,B25032_013,11756
2015,11217,B25032_013,11824
2016,11217,B25032_013,11526
2017,11217,B25032_013,11682
2018,11217,B25032_013,12230
2019,11217,B25032_013,12860
2020,11217,B25032_013,13324
2021,11217,B25032_013,12899
2012,11218,B25032_013,16401
2013,11218,B25032_013,16671
2014,11218,B25032_013,16541
2015,11218,B25032_013,16599
2016,11218,B25032_013,16167
2017,11218,B25032_013,16060
2018,11218,B25032_013,15760
2019,11218,B25032_013,15470
2020,11218,B25032_013,15202
2021,11218,B25032_013,15588
2012,11219,B25032_013,19968
2013,11219,B25032_013,19971
2014,11219,B25032_013,20012
2015,11219,B25032_013,19564
2016,11219,B25032_013,19505
2017,11219,B25032_013,18538
2018,11219,B25032_013,17743
2019,11219,B25032_013,17594
2020,11219,B25032_013,17708
2021,11219,B25032_013,17594
2012,11220,B25032_013,22981
2013,11220,B25032_013,22759
2014,11220,B25032_013,22464
2015,11220,B25032_013,22625
2016,11220,B25032_013,22084
2017,11220,B25032_013,21476
2018,11220,B25032_013,20781
2019,11220,B25032_013,20203
2020,11220,B25032_013,20223
2021,11220,B25032_013,19772
2012,11221,B25032_013,21977
2013,11221,B25032_013,22177
2014,11221,B25032_013,22845
2015,11221,B25032_013,23045
2016,11221,B25032_013,23251
2017,11221,B25032_013,23258
2018,11221,B25032_013,24225
2019,11221,B25032_013,24469
2020,11221,B25032_013,26087
2021,11221,B25032_013,26596
2012,11222,B25032_013,12990
2013,11222,B25032_013,13169
2014,11222,B25032_013,13201
2015,11222,B25032_013,13259
2016,11222,B25032_013,13601
2017,11222,B25032_013,14202
2018,11222,B25032_013,14165
2019,11222,B25032_013,14405
2020,11222,B25032_013,14845
2021,11222,B25032_013,15260
2012,11223,B25032_013,16180
2013,11223,B25032_013,16576
2014,11223,B25032_013,17024
2015,11223,B25032_013,17624
2016,11223,B25032_013,17848
2017,11223,B25032_013,17775
2018,11223,B25032_013,17994
2019,11223,B25032_013,17891
2020,11223,B25032_013,17394
2021,11223,B25032_013,17185
2012,11224,B25032_013,13599
2013,11224,B25032_013,13043
2014,11224,B25032_013,12736
2015,11224,B25032_013,12932
2016,11224,B25032_013,13080
2017,11224,B25032_013,13306
2018,11224,B25032_013,13522
2019,11224,B25032_013,14059
2020,11224,B25032_013,13467
2021,11224,B25032_013,13185
2012,11225,B25032_013,19746
2013,11225,B25032_013,19299
2014,11225,B25032_013,19475
2015,11225,B25032_013,19860
2016,11225,B25032_013,20105
2017,11225,B25032_013,19858
2018,11225,B25032_013,20328
2019,11225,B25032_013,20255
2020,11225,B25032_013,19745
2021,11225,B25032_013,19904
2012,11226,B25032_013,31913
2013,11226,B25032_013,31004
2014,11226,B25032_013,31336
2015,11226,B25032_013,31478
2016,11226,B25032_013,31716
2017,11226,B25032_013,31995
2018,11226,B25032_013,32169
2019,11226,B25032_013,32377
2020,11226,B25032_013,32752
2021,11226,B25032_013,32239
2012,11228,B25032_013,6356
2013,11228,B25032_013,6315
2014,11228,B25032_013,6547
2015,11228,B25032_013,6615
2016,11228,B25032_013,6607
2017,11228,B25032_013,6551
2018,11228,B25032_013,6863
2019,11228,B25032_013,6770
2020,11228,B25032_013,6956
2021,11228,B25032_013,7009
2012,11229,B25032_013,16819
2013,11229,B25032_013,16626
2014,11229,B25032_013,16814
2015,11229,B25032_013,16451
2016,11229,B25032_013,16360
2017,11229,B25032_013,16184
2018,11229,B25032_013,16345
2019,11229,B25032_013,16332
2020,11229,B25032_013,16342
2021,11229,B25032_013,15723
2012,11230,B25032_013,20947
2013,11230,B25032_013,21086
2014,11230,B25032_013,21654
2015,11230,B25032_013,21995
2016,11230,B25032_013,22012
2017,11230,B25032_013,21959
2018,11230,B25032_013,21482
2019,11230,B25032_013,20846
2020,11230,B25032_013,21645
2021,11230,B25032_013,21987
2012,11231,B25032_013,11467
2013,11231,B25032_013,11098
2014,11231,B25032_013,11275
2015,11231,B25032_013,11171
2016,11231,B25032_013,11196
2017,11231,B25032_013,10921
2018,11231,B25032_013,10783
2019,11231,B25032_013,10615
2020,11231,B25032_013,10716
2021,11231,B25032_013,11422
2012,11232,B25032_013,6941
2013,11232,B25032_013,6802
2014,11232,B25032_013,6696
2015,11232,B25032_013,6770
2016,11232,B25032_013,6737
2017,11232,B25032_013,6538
2018,11232,B25032_013,6590
2019,11232,B25032_013,6568
2020,11232,B25032_013,6924
2021,11232,B25032_013,6936
2012,11233,B25032_013,19915
2013,11233,B25032_013,20035
2014,11233,B25032_013,20445
2015,11233,B25032_013,20867
2016,11233,B25032_013,21534
2017,11233,B25032_013,22156
2018,11233,B25032_013,22688
2019,11233,B25032_013,23627
2020,11233,B25032_013,24712
2021,11233,B25032_013,24326
2012,11234,B25032_013,10413
2013,11234,B25032_013,10535
2014,11234,B25032_013,10635
2015,11234,B25032_013,10857
2016,11234,B25032_013,10650
2017,11234,B25032_013,10248
2018,11234,B25032_013,10186
2019,11234,B25032_013,10362
2020,11234,B25032_013,10329
2021,11234,B25032_013,10598
2012,11235,B25032_013,18950
2013,11235,B25032_013,19220
2014,11235,B25032_013,19189
2015,11235,B25032_013,19086
2016,11235,B25032_013,19068
2017,11235,B25032_013,19396
2018,11235,B25032_013,19499
2019,11235,B25032_013,19759
2020,11235,B25032_013,19990
2021,11235,B25032_013,21496
2012,11236,B25032_013,16106
2013,11236,B25032_013,16387
2014,11236,B25032_013,16513
2015,11236,B25032_013,16853
2016,11236,B25032_013,16941
2017,11236,B25032_013,16893
2018,11236,B25032_013,17054
2019,11236,B25032_013,17261
2020,11236,B25032_013,17605
2021,11236,B25032_013,17318
2012,11237,B25032_013,14781
2013,11237,B25032_013,15033
2014,11237,B25032_013,15148
2015,11237,B25032_013,15052
2016,11237,B25032_013,15242
2017,11237,B25032_013,15096
2018,11237,B25032_013,15072
2019,11237,B25032_013,15489
2020,11237,B25032_013,15814
2021,11237,B25032_013,15638
2012,11238,B25032_013,16303
2013,11238,B25032_013,16403
2014,11238,B25032_013,16479
2015,11238,B25032_013,16643
2016,11238,B25032_013,16959
2017,11238,B25032_013,17320
2018,11238,B25032_013,17219
2019,11238,B25032_013,17488
2020,11238,B25032_013,17604
2021,11238,B25032_013,18375
2012,11239,B25032_013,6263
2013,11239,B25032_013,6238
2014,11239,B25032_013,6163
2015,11239,B25032_013,6188
2016,11239,B25032_013,6306
2017,11239,B25032_013,6415
2018,11239,B25032_013,6549
2019,11239,B25032_013,6538
2020,11239,B25032_013,6578
2021,11239,B25032_013,7198
2012,11354,B25032_013,11733
2013,11354,B25032_013,11850
2014,11354,B25032_013,11693
2015,11354,B25032_013,12235
2016,11354,B25032_013,12440
2017,11354,B25032_013,12273
2018,11354,B25032_013,12331
2019,11354,B25032_013,12512
2020,11354,B25032_013,12442
2021,11354,B25032_013,12491
2012,11355,B25032_013,19111
2013,11355,B25032_013,18956
2014,11355,B25032_013,18825
2015,11355,B25032_013,18681
2016,11355,B25032_013,18648
2017,11355,B25032_013,18994
2018,11355,B25032_013,19290
2019,11355,B25032_013,19363
2020,11355,B25032_013,19853
2021,11355,B25032_013,20480
2012,11356,B25032_013,3956
2013,11356,B25032_013,3951
2014,11356,B25032_013,3878
2015,11356,B25032_013,4205
2016,11356,B25032_013,3865
2017,11356,B25032_013,3915
2018,11356,B25032_013,4155
2019,11356,B25032_013,4115
2020,11356,B25032_013,3863
2021,11356,B25032_013,4091
2012,11357,B25032_013,4202
2013,11357,B25032_013,4237
2014,11357,B25032_013,3921
2015,11357,B25032_013,3749
2016,11357,B25032_013,3719
2017,11357,B25032_013,3508
2018,11357,B25032_013,3276
2019,11357,B25032_013,3471
2020,11357,B25032_013,3969
2021,11357,B25032_013,3965
2012,11358,B25032_013,5947
2013,11358,B25032_013,5901
2014,11358,B25032_013,5692
2015,11358,B25032_013,5760
2016,11358,B25032_013,5766
2017,11358,B25032_013,5647
2018,11358,B25032_013,5835
2019,11358,B25032_013,5779
2020,11358,B25032_013,5462
2021,11358,B25032_013,5403
2012,11360,B25032_013,2883
2013,11360,B25032_013,2813
2014,11360,B25032_013,2691
2015,11360,B25032_013,2701
2016,11360,B25032_013,2762
2017,11360,B25032_013,2457
2018,11360,B25032_013,2444
2019,11360,B25032_013,2336
2020,11360,B25032_013,2206
2021,11360,B25032_013,2387
2012,11361,B25032_013,4341
2013,11361,B25032_013,4666
2014,11361,B25032_013,4483
2015,11361,B25032_013,4481
2016,11361,B25032_013,4545
2017,11361,B25032_013,4370
2018,11361,B25032_013,4276
2019,11361,B25032_013,4229
2020,11361,B25032_013,4070
2021,11361,B25032_013,4133
2012,11362,B25032_013,1333
2013,11362,B25032_013,1504
2014,11362,B25032_013,1460
2015,11362,B25032_013,1455
2016,11362,B25032_013,1354
2017,11362,B25032_013,1423
2018,11362,B25032_013,1447
2019,11362,B25032_013,1438
2020,11362,B25032_013,1522
2021,11362,B25032_013,1686
2012,11364,B25032_013,3362
2013,11364,B25032_013,3420
2014,11364,B25032_013,3411
2015,11364,B25032_013,3606
2016,11364,B25032_013,3625
2017,11364,B25032_013,3513
2018,11364,B25032_013,3561
2019,11364,B25032_013,3720
2020,11364,B25032_013,3882
2021,11364,B25032_013,4124
2012,11365,B25032_013,8493
2013,11365,B25032_013,8174
2014,11365,B25032_013,7918
2015,11365,B25032_013,8320
2016,11365,B25032_013,7769
2017,11365,B25032_013,8042
2018,11365,B25032_013,8198
2019,11365,B25032_013,8250
2020,11365,B25032_013,8525
2021,11365,B25032_013,8490
2012,11366,B25032_013,1214
2013,11366,B25032_013,1292
2014,11366,B25032_013,1226
2015,11366,B25032_013,1187
2016,11366,B25032_013,1371
2017,11366,B25032_013,1334
2018,11366,B25032_013,1364
2019,11366,B25032_013,1524
2020,11366,B25032_013,1342
2021,11366,B25032_013,1335
2012,11367,B25032_013,7706
2013,11367,B25032_013,7745
2014,11367,B25032_013,7887
2015,11367,B25032_013,7709
2016,11367,B25032_013,7813
2017,11367,B25032_013,7775
2018,11367,B25032_013,7778
2019,11367,B25032_013,7674
2020,11367,B25032_013,7516
2021,11367,B25032_013,7734
2012,11368,B25032_013,22137
2013,11368,B25032_013,22639
2014,11368,B25032_013,23022
2015,11368,B25032_013,22913
2016,11368,B25032_013,22447
2017,11368,B25032_013,22029
2018,11368,B25032_013,22327
2019,11368,B25032_013,22715
2020,11368,B25032_013,22409
2021,11368,B25032_013,23633
2012,11369,B25032_013,5606
2013,11369,B25032_013,5947
2014,11369,B25032_013,6101
2015,11369,B25032_013,6033
2016,11369,B25032_013,5603
2017,11369,B25032_013,5181
2018,11369,B25032_013,4685
2019,11369,B25032_013,4272
2020,11369,B25032_013,3882
2021,11369,B25032_013,3820
2012,11370,B25032_013,4394
2013,11370,B25032_013,4491
2014,11370,B25032_013,4704
2015,11370,B25032_013,4811
2016,11370,B25032_013,4591
2017,11370,B25032_013,4317
2018,11370,B25032_013,3911
2019,11370,B25032_013,3776
2020,11370,B25032_013,3564
2021,11370,B25032_013,3716
2012,11371,B25032_013,0
2013,11371,B25032_013,0
2014,11371,B25032_013,0
2015,11371,B25032_013,0
2016,11371,B25032_013,0
2017,11371,B25032_013,0
2018,11371,B25032_013,0
2019,11371,B25032_013,0
2020,11371,B25032_013,0
2021,11371,B25032_013,0
2012,11372,B25032_013,16380
2013,11372,B25032_013,16524
2014,11372,B25032_013,16914
2015,11372,B25032_013,17415
2016,11372,B25032_013,16888
2017,11372,B25032_013,16698
2018,11372,B25032_013,16271
2019,11372,B25032_013,15942
2020,11372,B25032_013,15908
2021,11372,B25032_013,16494
2012,11373,B25032_013,23060
2013,11373,B25032_013,22785
2014,11373,B25032_013,23067
2015,11373,B25032_013,22902
2016,11373,B25032_013,22534
2017,11373,B25032_013,21004
2018,11373,B25032_013,21371
2019,11373,B25032_013,21220
2020,11373,B25032_013,21631
2021,11373,B25032_013,22244
2012,11374,B25032_013,11801
2013,11374,B25032_013,12154
2014,11374,B25032_013,12771
2015,11374,B25032_013,12667
2016,11374,B25032_013,12350
2017,11374,B25032_013,12178
2018,11374,B25032_013,11892
2019,11374,B25032_013,11763
2020,11374,B25032_013,11156
2021,11374,B25032_013,11873
2012,11375,B25032_013,15958
2013,11375,B25032_013,16026
2014,11375,B25032_013,15849
2015,11375,B25032_013,16200
2016,11375,B25032_013,16235
2017,11375,B25032_013,16220
2018,11375,B25032_013,16160
2019,11375,B25032_013,15970
2020,11375,B25032_013,15576
2021,11375,B25032_013,15664
2012,11377,B25032_013,22951
2013,11377,B25032_013,22855
2014,11377,B25032_013,22922
2015,11377,B25032_013,22354
2016,11377,B25032_013,22110
2017,11377,B25032_013,22068
2018,11377,B25032_013,21712
2019,11377,B25032_013,21359
2020,11377,B25032_013,21667
2021,11377,B25032_013,22393
2012,11378,B25032_013,5884
2013,11378,B25032_013,5978
2014,11378,B25032_013,6022
2015,11378,B25032_013,5998
2016,11378,B25032_013,6174
2017,11378,B25032_013,5995
2018,11378,B25032_013,6192
2019,11378,B25032_013,6153
2020,11378,B25032_013,5874
2021,11378,B25032_013,5954
2012,11379,B25032_013,5602
2013,11379,B25032_013,5592
2014,11379,B25032_013,5572
2015,11379,B25032_013,5498
2016,11379,B25032_013,5276
2017,11379,B25032_013,5210
2018,11379,B25032_013,5286
2019,11379,B25032_013,5415
2020,11379,B25032_013,5437
2021,11379,B25032_013,5750
2012,11385,B25032_013,24303
2013,11385,B25032_013,24729
2014,11385,B25032_013,24365
2015,11385,B25032_013,24197
2016,11385,B25032_013,23997
2017,11385,B25032_013,23770
2018,11385,B25032_013,23854
2019,11385,B25032_013,24364
2020,11385,B25032_013,24521
2021,11385,B25032_013,25742
2012,11411,B25032_013,1020
2013,11411,B25032_013,1108
2014,11411,B25032_013,1100
2015,11411,B25032_013,984
2016,11411,B25032_013,917
2017,11411,B25032_013,881
2018,11411,B25032_013,880
2019,11411,B25032_013,847
2020,11411,B25032_013,800
2021,11411,B25032_013,950
2012,11412,B25032_013,2638
2013,11412,B25032_013,2735
2014,11412,B25032_013,2856
2015,11412,B25032_013,2839
2016,11412,B25032_013,2993
2017,11412,B25032_013,2849
2018,11412,B25032_013,2833
2019,11412,B25032_013,2670
2020,11412,B25032_013,2830
2021,11412,B25032_013,2688
2012,11413,B25032_013,2906
2013,11413,B25032_013,3036
2014,11413,B25032_013,3133
2015,11413,B25032_013,3323
2016,11413,B25032_013,3479
2017,11413,B25032_013,3419
2018,11413,B25032_013,3588
2019,11413,B25032_013,3502
2020,11413,B25032_013,3543
2021,11413,B25032_013,3327
2012,11414,B25032_013,3029
2013,11414,B25032_013,2923
2014,11414,B25032_013,2750
2015,11414,B25032_013,3072
2016,11414,B25032_013,2917
2017,11414,B25032_013,3194
2018,11414,B25032_013,3227
2019,11414,B25032_013,2926
2020,11414,B25032_013,2842
2021,11414,B25032_013,2820
2012,11415,B25032_013,5451
2013,11415,B25032_013,5437
2014,11415,B25032_013,5255
2015,11415,B25032_013,5204
2016,11415,B25032_013,5301
2017,11415,B25032_013,5474
2018,11415,B25032_013,5380
2019,11415,B25032_013,5404
2020,11415,B25032_013,4760
2021,11415,B25032_013,5136
2012,11416,B25032_013,3899
2013,11416,B25032_013,4026
2014,11416,B25032_013,4046
2015,11416,B25032_013,4137
2016,11416,B25032_013,4168
2017,11416,B25032_013,4145
2018,11416,B25032_013,4093
2019,11416,B25032_013,3978
2020,11416,B25032_013,4122
2021,11416,B25032_013,3878
2012,11417,B25032_013,4203
2013,11417,B25032_013,4299
2014,11417,B25032_013,4220
2015,11417,B25032_013,4092
2016,11417,B25032_013,3923
2017,11417,B25032_013,3594
2018,11417,B25032_013,3609
2019,11417,B25032_013,3454
2020,11417,B25032_013,3632
2021,11417,B25032_013,3683
2012,11418,B25032_013,6275
2013,11418,B25032_013,6341
2014,11418,B25032_013,6509
2015,11418,B25032_013,6577
2016,11418,B25032_013,6332
2017,11418,B25032_013,6278
2018,11418,B25032_013,6177
2019,11418,B25032_013,6154
2020,11418,B25032_013,6045
2021,11418,B25032_013,6000
2012,11419,B25032_013,5502
2013,11419,B25032_013,5390
2014,11419,B25032_013,5528
2015,11419,B25032_013,5518
2016,11419,B25032_013,5499
2017,11419,B25032_013,5234
2018,11419,B25032_013,5128
2019,11419,B25032_013,4661
2020,11419,B25032_013,4640
2021,11419,B25032_013,4938
2012,11420,B25032_013,4107
2013,11420,B25032_013,4088
2014,11420,B25032_013,4343
2015,11420,B25032_013,4527
2016,11420,B25032_013,4551
2017,11420,B25032_013,4315
2018,11420,B25032_013,4360
2019,11420,B25032_013,4108
2020,11420,B25032_013,3731
2021,11420,B25032_013,4057
2012,11421,B25032_013,5881
2013,11421,B25032_013,5700
2014,11421,B25032_013,5506
2015,11421,B25032_013,5436
2016,11421,B25032_013,5359
2017,11421,B25032_013,5127
2018,11421,B25032_013,5178
2019,11421,B25032_013,5315
2020,11421,B25032_013,5254
2021,11421,B25032_013,5644
2012,11422,B25032_013,2869
2013,11422,B25032_013,3282
2014,11422,B25032_013,3211
2015,11422,B25032_013,3318
2016,11422,B25032_013,3433
2017,11422,B25032_013,3457
2018,11422,B25032_013,3254
2019,11422,B25032_013,3395
2020,11422,B25032_013,3322
2021,11422,B25032_013,3218
2012,11423,B25032_013,3793
2013,11423,B25032_013,3862
2014,11423,B25032_013,4053
2015,11423,B25032_013,3951
2016,11423,B25032_013,4182
2017,11423,B25032_013,4220
2018,11423,B25032_013,4115
2019,11423,B25032_013,4019
2020,11423,B25032_013,4155
2021,11423,B25032_013,4161
2012,11424,B25032_013,0
2013,11424,B25032_013,0
2014,11424,B25032_013,0
2015,11424,B25032_013,0
2016,11424,B25032_013,0
2017,11424,B25032_013,0
2018,11424,B25032_013,0
2019,11424,B25032_013,0
2020,11424,B25032_013,0
2021,11424,B25032_013,0
2012,11425,B25032_013,0
2013,11425,B25032_013,0
2014,11425,B25032_013,0
2015,11425,B25032_013,0
2016,11425,B25032_013,0
2017,11425,B25032_013,0
2018,11425,B25032_013,0
2019,11425,B25032_013,0
2020,11425,B25032_013,0
2012,11426,B25032_013,1409
2013,11426,B25032_013,1320
2014,11426,B25032_013,1445
2015,11426,B25032_013,1494
2016,11426,B25032_013,1472
2017,11426,B25032_013,1486
2018,11426,B25032_013,1524
2019,11426,B25032_013,1440
2020,11426,B25032_013,1476
2021,11426,B25032_013,1738
2012,11427,B25032_013,3129
2013,11427,B25032_013,3005
2014,11427,B25032_013,3083
2015,11427,B25032_013,3234
2016,11427,B25032_013,3008
2017,11427,B25032_013,2855
2018,11427,B25032_013,3001
2019,11427,B25032_013,3076
2020,11427,B25032_013,3014
2021,11427,B25032_013,2894
2012,11428,B25032_013,1870
2013,11428,B25032_013,1862
2014,11428,B25032_013,2095
2015,11428,B25032_013,1937
2016,11428,B25032_013,1969
2017,11428,B25032_013,1811
2018,11428,B25032_013,1726
2019,11428,B25032_013,1611
2020,11428,B25032_013,1748
2021,11428,B25032_013,1577
2012,11429,B25032_013,2640
2013,11429,B25032_013,2539
2014,11429,B25032_013,2438
2015,11429,B25032_013,2131
2016,11429,B25032_013,2197
2017,11429,B25032_013,2177
2018,11429,B25032_013,2060
2019,11429,B25032_013,2135
2020,11429,B25032_013,2203
2021,11429,B25032_013,2212
2012,11430,B25032_013,0
2013,11430,B25032_013,0
2014,11430,B25032_013,0
2015,11430,B25032_013,0
2016,11430,B25032_013,0
2017,11430,B25032_013,0
2018,11430,B25032_013,0
2019,11430,B25032_013,0
2020,11430,B25032_013,0
2021,11430,B25032_013,0
2012,11432,B25032_013,11123
2013,11432,B25032_013,11309
2014,11432,B25032_013,11973
2015,11432,B25032_013,11733
2016,11432,B25032_013,11719
2017,11432,B25032_013,11834
2018,11432,B25032_013,11756
2019,11432,B25032_013,11431
2020,11432,B25032_013,11330
2021,11432,B25032_013,12157
2012,11433,B25032_013,5703
2013,11433,B25032_013,5783
2014,11433,B25032_013,6191
2015,11433,B25032_013,6014
2016,11433,B25032_013,6020
2017,11433,B25032_013,5908
2018,11433,B25032_013,5843
2019,11433,B25032_013,5905
2020,11433,B25032_013,6017
2021,11433,B25032_013,5824
2012,11434,B25032_013,10356
2013,11434,B25032_013,10298
2014,11434,B25032_013,10450
2015,11434,B25032_013,10505
2016,11434,B25032_013,10680
2017,11434,B25032_013,10654
2018,11434,B25032_013,10937
2019,11434,B25032_013,11058
2020,11434,B25032_013,10812
2021,11434,B25032_013,11365
2012,11435,B25032_013,10995
2013,11435,B25032_013,11647
2014,11435,B25032_013,11742
2015,11435,B25032_013,12054
2016,11435,B25032_013,12296
2017,11435,B25032_013,12087
2018,11435,B25032_013,12006
2019,11435,B25032_013,11910
2020,11435,B25032_013,12679
2021,11435,B25032_013,12106
2012,11436,B25032_013,1618
2013,11436,B25032_013,1610
2014,11436,B25032_013,1633
2015,11436,B25032_013,1747
2016,11436,B25032_013,1660
2017,11436,B25032_013,1600
2018,11436,B25032_013,1516
2019,11436,B25032_013,1641
2020,11436,B25032_013,1679
2021,11436,B25032_013,1822
2021,11439,B25032_013,0
2012,11451,B25032_013,0
2013,11451,B25032_013,0
2014,11451,B25032_013,0
2015,11451,B25032_013,0
2016,11451,B25032_013,0
2017,11451,B25032_013,0
2018,11451,B25032_013,0
2019,11451,B25032_013,0
2020,11451,B25032_013,0
2021,11451,B25032_013,0
2012,11510,B25032_013,1736
2013,11510,B25032_013,1846
2014,11510,B25032_013,1770
2015,11510,B25032_013,1710
2016,11510,B25032_013,1732
2017,11510,B25032_013,1585
2018,11510,B25032_013,1410
2019,11510,B25032_013,1294
2020,11510,B25032_013,1421
2021,11510,B25032_013,1198
2012,11548,B25032_013,74
2013,11548,B25032_013,94
2014,11548,B25032_013,100
