year,GEOID,tot_units,tot_vac_units,pct_vac,tot_occ_units,renter_occ_units,pct_rent,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou,tot_hh,tot_hh_pov,pct_pov
2016,10004,2070,478,0.3,1592,1162,0.73,2191,122963,132597,1939,2012,2911,3139,28.1,1002,0.86,771,0.66,4,0,300,0.26,81,0.07,1592,53,0.03
2017,10004,2044,457,0.29,1587,1113,0.7,1981,135078,142623,1939,2012,3049,3219,27,1048,0.94,802,0.72,4,0,222,0.2,69,0.06,1587,51,0.03
2018,10004,2139,480,0.29,1659,1024,0.62,1718,146957,151466,0,2013,3235,3334,26.4,950,0.93,671,0.66,25,0.02,241,0.24,64,0.06,1659,52,0.03
2019,10004,2264,487,0.27,1777,1104,0.62,1859,157059,158996,0,2014,3324,3365,25.7,1036,0.94,752,0.68,95,0.09,164,0.15,61,0.06,1777,33,0.02
2020,10004,2306,484,0.27,1822,1125,0.62,1931,163475,163475,0,2016,3393,3393,25.1,1061,0.94,752,0.67,106,0.09,158,0.14,75,0.07,1822,45,0.02
2012,10005,4299,976,0.29,3323,2790,0.84,4541,120357,135673,1939,2010,2001,2256,28.2,2571,0.92,1839,0.66,11,0,756,0.27,126,0.05,3323,342,0.1
2013,10005,4903,1178,0.32,3725,3165,0.85,5506,123307,136992,1939,2011,2001,2223,28.3,2902,0.92,2120,0.67,94,0.03,741,0.23,157,0.05,3725,348,0.09
2014,10005,5114,1014,0.25,4100,3556,0.87,6290,120943,132221,1941,2011,2001,2188,28.9,3229,0.91,2284,0.64,203,0.06,747,0.21,204,0.06,4100,420,0.1
2015,10005,5254,1002,0.24,4252,3590,0.84,6496,121813,133014,1950,2012,2918,3186,29,3183,0.89,2476,0.69,161,0.04,702,0.2,179,0.05,4252,438,0.1
2016,10005,5187,892,0.21,4295,3546,0.83,6891,127955,137980,1939,2013,3005,3240,28.2,3125,0.88,2484,0.7,148,0.04,606,0.17,211,0.06,4295,514,0.12
