year,GEOID,tot_units,tot_vac_units,pct_vac,tot_occ_units,renter_occ_units,pct_rent,tot_pop_rou,med_hh_inc_rou,med_hh_inc_rou_2020_adj,med_yr_blt_rou,med_yr_moved_in_rou,med_gross_rent,med_gross_rent_2020_adj,med_rent_burden,tot_college_degree_rou,pct_college_deg_rou,tot_wh_rou,pct_wh_rou,tot_bl_rou,pct_bl_rou,tot_asn_rou,pct_asn_rou,tot_ltx_rou,pct_ltx_rou,tot_hh,tot_hh_pov,pct_pov
2012,10075,16157,2558,0.19,13599,7457,0.55,12338,81887,92308,1948,2004,1825,2057,25.7,5741,0.77,6102,0.82,81,0.01,593,0.08,581,0.08,13599,1152,0.08
2013,10075,16766,3031,0.22,13735,7461,0.54,12535,82098,91209,1946,2005,1868,2075,26.4,5943,0.8,6085,0.82,79,0.01,593,0.08,612,0.08,13735,1142,0.08
2014,10075,16508,2941,0.22,13567,7601,0.56,12717,85249,93198,1945,2007,1965,2148,26.3,5802,0.76,6173,0.81,45,0.01,638,0.08,679,0.09,13567,1150,0.08
2015,10075,16688,2543,0.18,14145,8038,0.57,13971,90112,98398,1949,2010,1999,2183,25,6059,0.75,6404,0.8,173,0.02,636,0.08,667,0.08,14145,1020,0.07
2016,10075,14955,2189,0.17,12766,7655,0.6,13299,90590,97688,1951,2011,2037,2197,26.4,5740,0.75,6077,0.79,178,0.02,636,0.08,620,0.08,12766,718,0.06
2017,10075,12954,1581,0.14,11373,6519,0.57,12430,91701,96823,1951,2011,2085,2201,30.2,4791,0.73,4973,0.76,182,0.03,551,0.08,707,0.11,11373,579,0.05
2018,10075,12599,1564,0.14,11035,6102,0.55,11456,99452,102503,1957,2012,2280,2350,29.5,4426,0.73,4387,0.72,219,0.04,492,0.08,878,0.14,11035,419,0.04
2019,10075,13323,1935,0.17,11388,6523,0.57,12040,111266,112639,1954,2013,2211,2238,30.3,4798,0.74,4584,0.7,293,0.04,507,0.08,1010,0.15,11388,460,0.04
2020,10075,14190,2115,0.18,12075,6981,0.58,12373,92722,92722,1954,2016,2175,2175,34.8,5096,0.73,5074,0.73,67,0.01,367,0.05,1383,0.2,12075,1023,0.08
2012,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10103,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10110,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10111,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10112,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10115,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10119,0,0,NA,0,0,NA,0,92722,92722,NA,2016,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10128,35652,4073,0.13,31579,21968,0.7,38157,79835,89994,1965,2004,1842,2076,27.4,16615,0.76,15200,0.69,1321,0.06,2598,0.12,2728,0.12,31579,2265,0.07
2013,10128,35481,4136,0.13,31345,22031,0.7,39324,79237,88031,1965,2005,1879,2088,27.9,16551,0.75,15199,0.69,1410,0.06,2480,0.11,2977,0.14,31345,2370,0.08
2014,10128,35819,3900,0.12,31919,22321,0.7,40913,82986,90724,1965,2007,1901,2078,27.5,17134,0.77,15374,0.69,1386,0.06,2580,0.12,2960,0.13,31919,2501,0.08
2015,10128,35411,3491,0.11,31920,22018,0.69,40664,84426,92189,1965,2009,1962,2142,27.5,16771,0.76,15204,0.69,1650,0.07,2234,0.1,2984,0.14,31920,2374,0.07
2016,10128,35446,3295,0.1,32151,21899,0.68,41223,84337,90945,1964,2010,2056,2217,27.2,16793,0.77,15135,0.69,1522,0.07,2100,0.1,2997,0.14,32151,2287,0.07
2017,10128,35160,3516,0.11,31644,21227,0.67,40845,89123,94101,1964,2011,2143,2263,26.4,16731,0.79,14706,0.69,1318,0.06,2140,0.1,2774,0.13,31644,2238,0.07
2018,10128,34790,4099,0.13,30691,20562,0.67,38183,88219,90926,1964,2012,2198,2265,25.8,15987,0.78,14352,0.7,1117,0.05,2112,0.1,2508,0.12,30691,2115,0.07
2019,10128,34746,4677,0.16,30069,20087,0.67,37804,95413,96590,1965,2013,2312,2341,25.6,15528,0.77,13897,0.69,1087,0.05,1921,0.1,2748,0.14,30069,1946,0.06
2020,10128,35039,5341,0.18,29698,20473,0.69,37542,95676,95676,1962,2014,2271,2271,25.6,15294,0.75,14295,0.7,1100,0.05,1630,0.08,2946,0.14,29698,2340,0.08
2012,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10152,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10153,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10154,0,0,NA,0,0,NA,0,95676,95676,NA,2014,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10162,945,170,0.22,775,775,1,1590,165917,187031,1966,2001,2001,2256,20.1,656,0.85,645,0.83,0,0,53,0.07,66,0.09,775,10,0.01
2013,10162,859,159,0.23,700,700,1,1327,168667,187386,1966,2001,2001,2223,21.3,640,0.91,609,0.87,0,0,52,0.07,39,0.06,700,0,0
2014,10162,846,186,0.28,660,660,1,1252,193238,211257,1965,2003,2001,2188,18.8,644,0.98,570,0.86,0,0,50,0.08,40,0.06,660,0,0
2015,10162,808,137,0.2,671,671,1,1289,193510,211304,1966,2004,3009,3286,18.7,620,0.92,625,0.93,0,0,46,0.07,0,0,671,0,0
2016,10162,783,158,0.25,625,625,1,1253,178822,192832,1966,2009,2735,2949,14.8,577,0.92,579,0.93,0,0,46,0.07,0,0,625,0,0
2017,10162,709,54,0.08,655,655,1,1324,182530,192726,1965,2011,3067,3238,18.3,607,0.93,655,1,0,0,0,0,0,0,655,0,0
2018,10162,919,178,0.24,741,741,1,1584,188880,194675,1965,2014,3011,3103,16.1,648,0.87,700,0.94,0,0,41,0.06,0,0,741,0,0
2019,10162,837,164,0.24,673,673,1,1486,152336,154215,1964,2015,2292,2320,16.7,537,0.8,594,0.88,0,0,44,0.07,35,0.05,673,0,0
2020,10162,742,120,0.19,622,622,1,1240,96555,96555,1964,2005,3073,3073,40.4,374,0.6,538,0.86,0,0,28,0.05,56,0.09,622,0,0
2012,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10165,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10167,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10168,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10169,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10170,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10171,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2019,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2020,10172,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2012,10173,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2013,10173,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2014,10173,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2015,10173,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2016,10173,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2017,10173,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
2018,10173,0,0,NA,0,0,NA,0,96555,96555,NA,2005,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA
